,Apartment name,Distance from  WSU (miles),Address,No. of avaliable unit sizes,furnished,Do sharing avaliable,Bills not included in the rent,Bills paid by the management,Amentities provided by the management,Required guarantor,Required SSN,Require security deposit,Documents required for application,Rental insurance required,free parking lot available,Minimum lease term availability in months,In unit washer or dyer,Pets allowed,location,LATITUDE,LONGITUDE
43,Parc at 21st & Rock,1.8,"7677 E 21st N Wichita, KS","1Bed1 Bath $739 - $829 | 626sqft | 2 Bed 2 Bath $$ 1,177   |966 sqft",No,Yes,Yes,Yes,"Oven,Dishwasher,Refrigerator, Airconditioner,Carpets,Playground, Outdoor Picinic Area,Outdoor Picnic Area,24-Hour Emergency Maintenance,Fitness Center,Fitness Center.",No,No,Yes,Yes,Yes,Yes,3,No,Yes,"7677, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.722924,-97.24879581632653
44,Parklane Garden Apartments,3.4,"959 S Bleckley Dr, Wichita, KS","2 Beds, 1.5 Bath $760–$875 · 950-1040 sqft | 4 Available",No,Yes,Yes,Yes,"Laundry Facilities, Clubhouse, Pool, Playground, Courtyard, oven, Dishwasher, Air Conditioning, Garbage disposal, refrigerator, microwave",No,Yes,Yes,Yes,No,Yes,6,Yes,Yes,"959, South Bleckley Drive, Wichita, Sedgwick County, Kansas, 67218, United States",37.670873365081626,-97.27708307569067
45,Parkwood Apartments,4.1,"5323 E Harry St, Wichita, KS 67218","1Beds,1Bath $500|2 Bed,2 Bath $575|3 Bed,3 Bath $600",no,,,,,,,,,,,,,,"5323, East Harry Street, Wichita, Sedgwick County, Kansas, 67218, United States",37.664586,-97.27338444827586
46,Pinecrest Village,3.8,"1537 S Battin St, Wichita, KS 67218","1Bed,1Bath - $449 -475sqft| 2 Bed,1Bath $ -$499-618sqft",no,yes,yes,no,"On-site laundry facility,airconditoner,microvave,Private front and back entries,Playground,Handicapped accessible units available
",no,yes,yes,yes,yes,yes,yes,yes,yes,"1537, South Battin Street, Wichita, Sedgwick County, Kansas, 67218, United States",37.6656500437548,-97.27744062865348
49,Plaza Nine,2.2,"3700 E Douglas Ave #, Wichita, KS 67208",,No,Yes,Yes,No,,No,Yes,Yes,Yes,Yes,Yes,6,No,Yes,"Flavors Coffee and Ice Cream Bar, 3700, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67208, United States",37.6867293,-97.2937148
50,Ponderosa Apartments,2.5,"5900 E Mainsgate Rd, Wichita, KS 67220","5-(1 bed,1 bath-600 sq ft),(1 bed,1 bath studio style- 698 sq ft),(1 bed, 1 bath with Den- 835 sq ft),(2 Bed 2 Bath-984 sq ft),(2 bed ,1.5 bath-850 sq ft",No,Yes,Yes,Yes,"24-Hour Emergency Maintenance,BBQ and Picnic Area,Balcony or Patio,Carpet,Contemporary Color Schemes,Flexible Monthly Rent Payments with FlexRent,Fully-equipped Kitchen,Natural Lighting",No,Yes,Yes,Yes,No,Yes,6,No,Yes,"5900, East Mainsgate Road, Wichita, Sedgwick County, Kansas, 67220, United States",37.72925497419727,-97.26650768702174
51,Regal plaza and cottages,1.9,"2500 E 27th St N, Wichita, KS 67219","1-1bed,1 bath-600 Sq ft",No,Yes,Yes,Yes,"High Speed,Internet Access,Wi-Fi,Air Conditioning,HeatingSmoke,FreeCable,ReadySecurity,SystemTub/ShowerWheelchair,Accessible(Rooms),Kitchen FeaturesAppliancesDishwasherDisposalMicrowaveOvenRangeRefrigeratorFreezer",No,Yes,Yes,Yes,No,Yes,12,No,Yes,"2500, East 27th Street North, Wichita, Sedgwick County, Kansas, 67219, United States",37.733821,-97.306754
52,Renata view,2.3," 333 W 21st St #, Wichita, KS 67203","1-1bed,1bath studio-400 sq ft",No,Yes,Yes,No,"Ceiling Fan,Dishwasher,Oven,Range,Refrigerator,Garbage Disposal",No,Yes,Yes,Yes,Yes,Yes,12,No,Yes,"333, West 21st Street North, Wichita, Sedgwick County, Kansas, 67203, United States",37.722502,-97.34100832653061
53,Rockborough Apartments,5.1,"202 N Rock Rd, Wichita, KS 67206","3-(1 bed,1bath-625 sq ft),(2 bed,1 bath-865sq ft),(2 bed town house-1845 sq ft)",No,Yes,Yes,Yes,"Package Service,Wi-Fi at Pool and Clubhouse,Laundry Facilities,Maintenance on site,Property Manager on Site,Online ServicesGuest, ApartmentPet Play, AreaPublic Transportation,Business Center,ClubhouseLounge,Fitness Center,Sauna",No,Yes,Yes,Yes,No,Yes,12,No,Yes,"Rockborough Apartments, 202, North Rock Road, Forest Hills, Wichita, Sedgwick County, Kansas, 67207, United States",37.6889439,-97.24226784390558
54,Sandstone Apartments,4,"4825 Eastwood St, Wichita, KS 67218","2-(1 bed,1 bath-640 sq ft),(2 bed,1 bath-772 sq ft)",No,Yes,Yes,Yes,"Package Service,Community-Wide, WiFi,Laundry Facilities,Maintenance on siteProperty, Manager on Site,24 Hour Availability,Public Transportation,Courtyard",No,Yes,Yes,Yes,No,Yes,12,Yes,Yes,"East Eastwood Street, Wichita, Sedgwick County, Kansas, 67218, United States",37.676259,-97.279525
55,Seventeenth Apartments,0.5,"3607 E 17th St N, Wichita, KS 67208","7-(1Bed1Bath437sqft),(2bed1bath807sqft),(2bed2bath1045sqft),(3bed3baths1082sqft),(4bed2baths1203sqft),(4bed4baths1156sqft)(Studio1bath380sqft)",Yes,Yes,Yes,Yes,"Pet friendly (cats and small/medium dogs allowed), Gated secure community, Dedicated private parking,Security cameras,Lounge pool,Sand Volleyball Court,High Speed WiFi,Roommate matching,Outdoor grill station
",No,No,Yes,Yes,Yes,Yes,12,Yes,Yes,"3607, East 17th Street North, Wichita, Sedgwick County, Kansas, 67208, United States",37.715462306122454,-97.2938557755102
56,shadybrook,0.2,"4925 E Shadybrook St, Wichita, KS 67208","3-(1Bed671sqft),(2Bed905sqft),(3Bed1100sqft)",Yes,Yes,Yes,Yes,"24/7 AvailabilityAirConditioner, AllowedCommunity RoomDogs AllowedElevator,Garbage Disposal,Laundry,Off Street Parking Lot,CoordinatorUtilities",No,No,Yes,Yes,Yes,Yes,12,No,Yes,"East Shadybrook Street, Wichita, Sedgwick County, Kansas, 67220, United States",37.721521,-97.263588
57,Shirkmere Apartments,5.1,"256 S Topeka St, Wichita, KS 67202","4-(Studio506sqft),(1Bed1bath775sqft),(2Bed1.5Bath1048sqft),(2Bed2Bath1062sqft),(3Bed2Bath1633sqft)",No,Yes,Yes,Yes,"High speed Internet, Pet friendly, Parking, Electricity, Water, Gas, Trash removal, Sewer, AC,heat",No,No,Yes,Yes,No,Yes,12,No,Yes,"256, South Topeka Street, Wichita, Sedgwick County, Kansas, 67202, United States",37.68427128571429,-97.33416042857144
58,Somorset Apartments,1.2,"2029 N Woodlawn St, Wichita, KS 67208","2-(1Bed1Bath672sqft),(2Bed1Bath912sqft)",No,Yes,Yes,Yes,"Laundry facilities, Club house, Lounge, Fitness center,High Speed Internet Access, Air Conditioning,Smoke Free,Kitchen,Refrigerator",No,Yes,Yes,Yes,Yes,Yes,12,No,Yes,"North Woodlawn Street, Arthur Heights, Bel Aire, Sedgwick County, Kansas, 67220, United States",37.764142,-97.262471
