,RESTAURANT NAME,DISTANCE FROM WSU,ADDRESS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,TYPE,RATINGS_OUTOF5,NUM_REVIEWS,MIN_COST,MAX_COST,ON_CAMPUS,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,TotalHours,location,LATITUDE,LONGITUDE
33,Asian Wok,2.9,"2929 N Rock Rd, Wichita, KS 67226",0,4PM-8PM,4PM-8PM,4PM-8PM,11AM-8PM,11AM-8PM,0,Asian restaurant,4.7,95,10.0,20.0,False,,4.0,4.0,4.0,9.0,9.0,,30.0,"2929, North Rock Road, Wichita, Sedgwick County, Kansas, 67226, United States",37.73585299766736,-97.2447538997117
34,China One (New China King),0.9,"6249 E 21st St N, Wichita, KS 67208",11AM-10PM,0,11AM-10PM,11AM-10PM,11AM-10:30PM,11AM-10:30PM,11AM-10PM,Chinese restaurant,3.9,208,10.0,20.0,False,11.0,,11.0,11.0,11.5,11.5,11.0,67.0,"Asian Groceries, 6249, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.7226367,-97.2641341
35,Taco Shop,1.2,"6825 E 21st St N, Wichita, KS 67206",10:30AM-10PM,10:30AM-10PM,10:30AM-9:30PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,Mexican restaurant,4.2,1398,1.0,10.0,False,11.5,11.5,11.0,11.5,11.5,11.5,11.5,80.0,"Taco Shop, 6825, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67230, United States",37.722525000000005,-97.2587369800266
36,Burger King,1.1,"2111 N Woodlawn St, Wichita, KS 67208",full day,full day,full day,full day,full day,full day,full day,Restaurant,3.0,737,1.0,10.0,False,,,,,,,,0.0,"North Woodlawn Street, Arthur Heights, Bel Aire, Sedgwick County, Kansas, 67220, United States",37.764142,-97.262471
37,Subway ,3.3,"3233 N Rock Rd, Wichita, KS 67226",9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,Sandwich shop,4.0,225,10.0,20.0,False,,,,,,,,0.0,"3233, North Rock Road, Wichita, Sedgwick County, Kansas, 67226, United States",37.74235456756757,-97.24476910810812
38,KFC,0.9,"6131 E 21st St N, Wichita, KS 67208",10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,Chicken restaurant,3.8,689,,,False,11.5,11.5,11.5,11.5,11.5,11.5,11.5,80.5,"6131, East 21st Street North, Minneha, Wichita, Sedgwick County, Kansas, 67208, United States",37.72291840268456,-97.26504455704698
39,The Hill Bar & Grill,2.0,"4800 E Douglas Ave, Wichita, KS 67208",11AM-11PM,11AM-11PM,11AM-11PM,11AM-11PM,11AM-1PM,11AM-1PM,11AM-10PM,Bar and Grill,4.3,1274,10.0,20.0,False,12.0,12.0,12.0,12.0,2.0,2.0,11.0,63.0,"4800, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67208, United States",37.686599,-97.280349
40,The Belmont,2.3,"3555 E Douglas Ave, Wichita, KS 67218",0,11AM-10PM,11AM-10PM,11AM-10PM,11AM-11PM,10am-11pm,10AM-9PM,Restaurant,4.6,544,10.0,20.0,False,,11.0,11.0,11.0,12.0,,11.0,56.0,"3555, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67218, United States",37.68635693147051,-97.29479951030099
41,Vora Restaurant European ,2.1,"3252 E Douglas Ave, Wichita, KS 67214",3PM-9PM,3PM-10PM,3PM-10PM,3PM-10PM,3PM-11PM,10AM-11PM,10AM-9PM,Europen restaurant,4.6,888,,,False,6.0,7.0,7.0,7.0,8.0,13.0,11.0,59.0,"3252, East Douglas Avenue, Wichita, Sedgwick County, Kansas, 67208, United States",37.686405042019786,-97.29774549924281
42,First Mile Kitchen,2.2,"2141 N Bradley Fair Pkwy, Wichita, KS 67206",11AM-8PM,11AM-9PM,11AM-9PM,11AM-9PM,11AM-9PM,9AM-9PM,9AM-8PM,Restaurant,4.4,228,,,False,9.0,10.0,10.0,10.0,10.0,12.0,11.0,72.0,"2141, North Bradley Fair Parkway, Minneha, Wichita, Sedgwick County, Kansas, 67206, United States",37.72186884230276,-97.24159001363934
